fishId,fishNo,balance_before,balance_after,difference,elapsed_seconds
1667,1,1625499.68,1625999.68,500.00,287
1668,1,1625999.68,1625999.68,0.00,287
1671,1,1625999.68,1625999.68,0.00,288
1672,1,1625999.68,1625999.68,0.00,288
1673,1,1625999.68,1625999.68,0.00,289
1674,1,1625699.68,1625699.68,0.00,289
1675,1,1625699.68,1625999.68,300.00,290
1676,1,1625999.68,1625999.68,0.00,291
1678,1,1625999.68,1625999.68,0.00,292
1679,1,1625999.68,1625999.68,0.00,292
1680,1,1625999.68,1626199.68,200.00,293
1681,1,1626199.68,1626199.68,0.00,294
1682,1,1626199.68,1626199.68,0.00,294
1683,1,1626199.68,1626199.68,0.00,295
1684,1,1626199.68,1626199.68,0.00,295
1685,1,1626199.68,1625899.68,-300.00,296
1686,1,1625899.68,1625899.68,0.00,296
1687,1,1625899.68,1625899.68,0.00,297
1688,1,1625899.68,1625899.68,0.00,297
1691,1,1625899.68,1625899.68,0.00,298
1695,1,1625899.68,1625899.68,0.00,298
1697,1,1625899.68,1625899.68,0.00,299
1699,1,1625899.68,1625599.68,-300.00,299
1700,1,1625599.68,1625599.68,0.00,300
1701,1,1625599.68,1625599.68,0.00,301
1703,1,1625599.68,1625599.68,0.00,301
1706,1,1625599.68,1625599.68,0.00,302
1711,1,1625599.68,1625999.68,400.00,302
1712,1,1625999.68,1625999.68,0.00,303
1713,1,1625999.68,1626299.68,300.00,303
1714,1,1626299.68,1626299.68,0.00,304
1721,1,1626299.68,1626099.68,-200.00,304
1724,1,1626099.68,1626099.68,0.00,305
1727,1,1626099.68,1625899.68,-200.00,305
1751,1,1625899.68,1625899.68,0.00,306
1755,1,1625899.68,1625899.68,0.00,306
1759,1,1625999.68,1625999.68,0.00,307
1777,1,1625999.68,1625999.68,0.00,307
1778,1,1625999.68,1625999.68,0.00,308
1779,1,1625899.68,1625899.68,0.00,308
1780,1,1625899.68,1625899.68,0.00,309
1781,1,1625899.68,1625899.68,0.00,309
1782,1,1625899.68,1625899.68,0.00,310
1783,1,1625899.68,1625899.68,0.00,311
1784,1,1625899.68,1626199.68,300.00,311
1785,1,1626199.68,1626199.68,0.00,312
1786,1,1626199.68,1626199.68,0.00,312
1787,1,1626199.68,1626199.68,0.00,313
1795,1,1626199.68,1626099.68,-100.00,313
1808,1,1626099.68,1626099.68,0.00,314
1809,1,1626099.68,1625899.68,-200.00,314
1810,1,1625899.68,1625899.68,0.00,315
1811,1,1625899.68,1625899.68,0.00,315
1818,1,1625899.68,1625899.68,0.00,316
1821,1,1625899.68,1625899.68,0.00,316
1838,1,1625899.68,1625799.68,-100.00,317
1839,1,1625799.68,1625799.68,0.00,317
1840,1,1625799.68,1625799.68,0.00,318
1841,1,1625999.68,1625999.68,0.00,318
1842,1,1625999.68,1625999.68,0.00,319
1843,1,1625999.68,1625999.68,0.00,320
1844,1,1625999.68,1625999.68,0.00,321
1845,1,1625999.68,1625599.68,-400.00,321
1846,1,1625599.68,1625599.68,0.00,322
1847,1,1625599.68,1625599.68,0.00,322
1848,1,1625599.68,1625599.68,0.00,323
1849,1,1625599.68,1625599.68,0.00,323
1850,1,1625599.68,1624999.68,-600.00,324
1851,1,1624999.68,1624999.68,0.00,324
1897,1,1624999.68,1624999.68,0.00,325
1898,1,1624999.68,1624799.68,-200.00,325
1900,1,1624799.68,1624799.68,0.00,326
1901,1,1624799.68,1624799.68,0.00,326
1905,1,1624799.68,1624799.68,0.00,327
1915,1,1624799.68,1624799.68,0.00,328
1916,1,1624799.68,1624999.68,200.00,328
1917,1,1624999.68,1624999.68,0.00,329
1918,1,1624999.68,1624999.68,0.00,329
1919,1,1624999.68,1624999.68,0.00,330
1920,1,1624999.68,1624999.68,0.00,330
1936,1,1624999.68,1624399.68,-600.00,331
1937,1,1624399.68,1624399.68,0.00,331
1938,1,1624399.68,1624199.68,-200.00,332
1942,1,1624199.68,1624199.68,0.00,332
1947,1,1624199.68,1624499.68,300.00,333
1960,1,1624499.68,1624499.68,0.00,333
1961,1,1624499.68,1624499.68,0.00,334
1962,1,1624499.68,1624499.68,0.00,334
1963,1,1624499.68,1624499.68,0.00,335
1964,1,1624499.68,1624499.68,0.00,335
1965,1,1624499.68,1624599.68,100.00,336
1979,1,1624599.68,1624599.68,0.00,337
1980,1,1624599.68,1624599.68,0.00,337
